Year,GDP_GROWTH,Currency,Average_Annual_Sell_Rate,Average_Annual_Buy_Rate,Average_Annual_Interest_Rate,Average_Annual_Index_Value_AF,Average_Annual_Inflation_Rate_AF,Average_Annual_Index_Value_FF,Average_Annual_Inflation_Rate_FF,IS_HIGH_INFLATION,IS_HIGH_INFLATION_FF,IS_VERY_HIGH_INFLATION,IS_VERY_HIGH_INFLATION_FF,IS_HIGH_INTEREST,IS_LOW_INTEREST,IS_CURRENCY_DEPRECIATION,IS_STRONG_DEPRECIATION,GDP_GROWTH_CHANGE,GDP_GROWTH_5YR_AVG,GDP_GROWTH_GAP,IS_RECESSION
2008.0,13709401520.03,0,25.900000000000034,26.14999999999999,10.384615384615385,238.96244324492864,13.060473556267443,231.39932226527603,9.974085328455072,1,1,1,0,1,0,0,0,,13709401520.03,0.0,0
2009.0,12247722875.44,0,25.900000000000034,26.14999999999999,10.384615384615385,265.69276438816,11.245976103256735,254.1932085444671,9.880505019259397,1,1,1,0,1,0,0,0,-1461678644.5900002,12247722875.44,0.0,0
2010.0,13220549908.25,USD,87.43,86.99,8.964285714285714,293.4752896557734,10.490869072155341,281.75073709791315,9.974085328455072,1,1,1,0,1,0,1,1,972827032.8099995,13059224767.906668,161325140.3433323,0
2011.0,14444661522.15,USD,86.08,85.72,6.653846153846154,313.50234428530297,6.8225878231216015,297.43226121236773,5.5697134536926205,1,0,0,0,1,0,0,0,1224111613.8999996,13405583956.4675,1039077565.6824989,0
2012.0,14807086555.53,USD,89.01,88.53,6.25,332.5417713065337,6.086175943054644,307.66320377167426,3.4687779052296097,1,0,0,0,1,0,0,0,362425033.38000107,13685884476.28,1121202079.25,0
2013.0,14264205152.61,USD,100.76,100.07,5.791666666666667,355.32826438425286,6.846981618159774,321.56136747808324,4.5271172830899244,1,0,0,0,1,0,1,1,-542881402.9200001,13796845202.796001,467359949.8139992,0
2014.0,13899217679.92,USD,111.22,110.69,5.75,378.0405832286298,6.395797987194752,339.56448940533755,5.606927760315401,1,0,0,0,1,0,1,1,-364987472.69000053,14127144163.692001,-227926483.77200127,1
2015.0,14963589915.59,USD,117.26,116.73,5.458333333333333,395.68888036486624,4.68195827744342,352.8802774625564,3.924511031690262,0,0,0,0,1,0,1,0,1064372235.6700001,14475752165.16,487837750.4300003,0
2016.0,14898999754.12,USD,125.46,124.82,5.083333333333333,406.38091676346585,2.7046536594213273,362.3812747870614,2.69548938155562,0,0,0,0,1,0,1,0,-64590161.46999931,14566619811.554,332379942.566,0
2017.0,15783583236.68,USD,128.45,127.55,4.166666666666667,416.45393646165417,2.4779578715901933,370.2945097435848,2.1836589984026893,0,0,0,0,0,0,0,0,884583482.5599995,14761919147.784,1021664088.8959999,0
2018.0,16651709020.72,USD,129.59,128.19,2.2916666666666665,426.6001218592466,2.436782558676608,378.6204869620943,2.2480206332915578,0,0,0,0,0,0,0,0,868125784.039999,15239419921.406,1412289099.3139992,0
2019.0,16651709020.72,USD,134.16,132.59,0.875,437.54577379108736,2.564294516997892,387.86543388903686,2.4397708057679615,0,0,0,0,0,1,0,0,0.0,15789918189.566,861790831.1539993,0
2020.0,15000214216.24,USD,143.15,141.68,0.5,452.8063952078999,3.485874564402609,398.9937334449771,2.874423946877203,0,0,0,0,0,1,1,0,-1651494804.4799995,15797243049.696,-797028833.4559994,1
